s0,human_ans,Paraphrase T5 E3,Paraphrase T5 E5,Paraphrase Bart E1,Paraphrase Bart E3,Highest ChrF T5 E3,Highest ChrF T5 E5,Highest ChrF Bart E1,Highest ChrF Bart E3
"Oldham took up the attack again and Barlow, who had a *fine* match at left-back, totally containing Rocastle, floated in a deep cross beyond Winterburn.",['good' 'equal'],good,good,perfect,good,100.0,100.0,3.7037037,100.0
"They are at a *stage* when they are likely to be concerned with a variety of complex issues; the meaning of life, the existence of God, ideologies, their emerging sexuality, their future career and life-style — too often science is seen as being purely instrumental with nothing to contribute to these debates.",['point' 'period'],point,stage,point,day,100.0,4.0,100.0,6.17283951
"Group 4 Remand Services Ltd, the security firm *selected* by the Home Office to manage The Wolds in a £5 million-a-year contract, likes to think of its prisoners as customers.",['chosen'],chosen,chosen,called,ordered,100.0,100.0,5.55555556,5.37634409
"Worse, *far* worse was to follow.",['much' 'even'],much,much,too,more,100.0,100.0,0.0,6.25
"It mostly seems to involve producing food for animals to eat, whose excrement is then collected to *assist* the growth of more food for animals.",['help' 'aid'],help,help,bring,help,100.0,100.0,9.80392157,100.0
"Sometimes they came alone, sometimes with a man in tow — to *foot* the bill!",['pay'],pay,pay,bring,pay,100.0,100.0,0.0,100.0
"He finds it *hard* to communicate with people, not least his separated parents.",['difficult'],difficult,difficult,difficult,difficult,100.0,100.0,100.0,100.0
"In any case, if such a qualification is called for it is *hard* to see how a creature with no rationality at all could possess it.",['difficult'],difficult,difficult,difficult,difficult,100.0,100.0,100.0,100.0
"In all this, there are perhaps a couple of things which *look* plausible when we compare the philosopher's child with our mental picture; Aristotle's observation that children are immature and Mill's suggestion that they might need protection.",['seem'],seem,seem,sound,seem,100.0,100.0,5.95238095,100.0
"Through it, Palestinians are struggling on a daily basis to shake off Israel's authority and to *construct* their own.",['create' 'make' 'build'],build,build,bring,hold,100.0,100.0,8.0,16.99790795
Y you're absolutely right *there*.,['here'],here,here,there,here,100.0,100.0,91.367713,100.0
"Only certain types of property normally *come* to auction, however.",['arrive' 'make' 'go'],go,go,come,come,100.0,100.0,4.46428571,4.46428571
"In open battle and in the plundering expeditions that constituted the normal form of aggressive warfare, they needed the *backing* of archers, both mounted and on foot, and of numerous infantrymen.",['support'],support,support,back,back,100.0,100.0,0.0,0.0
"Mum, why aren't you gon na *put* your microphone on.",['turn'],turn,turn,put,put,100.0,100.0,17.54385965,17.54385965
"Such is the mood of pessimism here it is *hard* to find anyone who believes the All Blacks, having won their seven matches in Wales, will face any significant threat during the next fortnight.",['difficult'],hard,difficult,difficult,difficult,3.125,100.0,100.0,100.0
"His attention was also caught by a woman dressed in midnight-blue satin and diamonds; the sister of a Middle-Eastern *ruler*, she was known as an audacious gambler.",['leader' 'royal' 'king'],politician,king,boss,star,9.61538462,100.0,5.20833333,8.92857143
"It has now been copied into INGRES, a relational database management system, *permitting* queries to be made about subsets of the data; for instance, all males between the ages of 25 and 64 suffering from laryngeal cancer.",['allowing'],allowing,allowing,allowed,for,100.0,100.0,40.45212467,4.76190476
"Oldham took up the attack again and Barlow, who had a *fine* match at left-back, totally containing Rocastle, floated in a deep cross beyond Winterburn.",['good' 'equal'],good,good,perfect,good,100.0,100.0,3.7037037,100.0
"Worse, *far* worse was to follow.",['much' 'even'],much,much,too,more,100.0,100.0,0.0,6.25
"Murder, manslaughter, and several other offences are discussed, and one recurrent issue here is whether English law responds proportionately to the different *degrees* of culpability manifested in cases where death is caused.",['levels'],levels,levels,murders,counts,100.0,100.0,5.37634409,2.77777778
"The summer's sprawl begins to be oppressive at this *stage* in the year and trigger fingers are itching to snip back overgrown mallows, clear out the mildewing foliage of golden rod and reduce the overpowering bulk of bullyboy ground cover.",['point' 'time' 'month'],start,moment,time,day,5.95238095,24.91017964,100.0,0.0
"The Masai, Sentue, finds this *hard* to believe.",['difficult'],difficult,difficult,difficult,difficult,100.0,100.0,100.0,100.0
A bit *spicy*!,['hot' 'saucy'],spooky,sloppy,hot,hot,9.25925926,9.25925926,100.0,100.0
"As this is not a book on criminological theories, what follows will be a *brief* overview of a wide range of theories and explanations.",['short'],brief,brief,short,short,4.0,4.0,100.0,100.0
This chapter will examine a range of theories which *attempt* to explain such behaviour.,['try' 'aim'],'re,'re,try,intend,11.11111111,11.11111111,100.0,9.25925926
"Their conversation, when they did speak, was *brief*.",['short'],brief,brief,short,short,4.0,4.0,100.0,100.0
"In any case, if such a qualification is called for it is *hard* to see how a creature with no rationality at all could possess it.",['difficult'],difficult,difficult,difficult,difficult,100.0,100.0,100.0,100.0
"That, after all, is what Don McLean did so brilliantly in ‘American Pie’, a personal *reaction* to ‘the day the music died’.",['response'],response,response,response,reply,100.0,100.0,100.0,11.23518687
Right on top of him and it turned round and *smacked*,['hit' 'bumped'],screamed,screamed,hit,hit,10.89991409,10.89991409,100.0,100.0
"Electors are always *prepared* to criticise the Government in answer to pollsters' questions, but when the same individuals arrive at the polling booth they simply can not bring themselves to vote Labour into power.",['ready' 'quick' 'willing'],prepared,prepared,ready,ready,18.63905325,18.63905325,100.0,100.0
"Electors are always *prepared* to criticise the Government in answer to pollsters' questions, but when the same individuals arrive at the polling booth they simply can not bring themselves to vote Labour into power.",['ready' 'quick' 'willing'],prepared,prepared,ready,ready,18.63905325,18.63905325,100.0,100.0
"It mostly seems to involve producing food for animals to eat, whose excrement is then collected to *assist* the growth of more food for animals.",['help' 'aid'],help,help,bring,help,100.0,100.0,9.80392157,100.0
"Thus stated, there is no reference to the defendant's intention or awareness of the risks: the fact that D has chosen to commit rape, robbery, or another serious offence, and has caused death thereby, is held to constitute sufficient moral grounds for *placing* the killing in the highest category.",['putting' 'classifying'],placing,placing,putting,putting,18.41269841,18.41269841,100.0,100.0
Y you're absolutely right *there*.,['here'],here,here,there,here,100.0,100.0,91.367713,100.0
"The Masai, Sentue, finds this *hard* to believe.",['difficult'],difficult,difficult,difficult,difficult,100.0,100.0,100.0,100.0
"He finds it *hard* to communicate with people, not least his separated parents.",['difficult'],difficult,difficult,difficult,difficult,100.0,100.0,100.0,100.0
Erm *there* you go.,['here'],where,where,there,here,91.367713,91.367713,91.367713,100.0
"Prestige comes in the *shape* of a Mercedes with the 240D or ‘Stuttgart Taxi’, commanding £7,000 but returning unfailing reliability.",['form'],shape,shape,face,form,0.0,0.0,6.25,100.0
There is still endless dithering on how *broad* a ‘safety net’ Britain will extend to its citizens.,['wide'],large,large,safe,wide,5.95238095,5.95238095,6.25,100.0
"The physicality so characteristic of Kahlo's work is missing, no flesh, no blood, just the tawdriness of the peeling poster and the *hollow* reminder of lost Liberty.",['empty'],suffocating,tense,hollow,empty,3.22580645,8.0,0.0,100.0
