s0,human_ans,Paraphrase T5 E3,Paraphrase T5 E5,Paraphrase Bart E1,Paraphrase Bart E3,Loss T5 E3,Loss T5 E5,Loss Bart E1,Loss Bart E3,Bert Scores T5 E3,Bert Scores T5 E5,Bert Scores Bart E1,Bert Scores Bart E3,ChrF Scores T5 E3,ChrF Scores T5 E5,ChrF Scores Bart E1,ChrF Scores Bart E3
"‘Prime Ministers always have to consider balance in the Cabinet — and at least we now have the same number of women as old Etonians in John Major's *team*,’ she said.",['group' 'party' 'board' 'cabinet'],cabinet,cabinet,pastor,staff,0.030267026,0.025991494,3.8784223,2.7614799,"[{'f1': array([0.99858904]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99858904]), 'recall': array([0.99858904])}{'f1': array([0.96621579]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.96621579]), 'recall': array([0.96621579])}{'f1': array([0.99943984]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99943984]), 'recall': array([0.99943984])}{'f1': array([1.]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([1.]), 'recall': array([1.])}]","[{'f1': array([0.99858904]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99858904]), 'recall': array([0.99858904])}{'f1': array([0.96621579]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.96621579]), 'recall': array([0.96621579])}{'f1': array([0.99943984]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99943984]), 'recall': array([0.99943984])}{'f1': array([1.]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([1.]), 'recall': array([1.])}]","[{'f1': array([0.99798286]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99798286]), 'recall': array([0.99798286])}{'f1': array([0.96630013]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.96630013]), 'recall': array([0.96630013])}{'f1': array([0.99924552]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99924552]), 'recall': array([0.99924552])}{'f1': array([0.99933088]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99933088]), 'recall': array([0.99933088])}]","[{'f1': array([0.99850029]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99850029]), 'recall': array([0.99850029])}{'f1': array([0.96644145]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.96644145]), 'recall': array([0.96644145])}{'f1': array([0.99707437]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99707437]), 'recall': array([0.99707437])}{'f1': array([0.99757504]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99757504]), 'recall': array([0.99757504])}]",[  0.           7.40740741   7.40740741 100.        ],[  0.           7.40740741   7.40740741 100.        ],[11.53846154 20.14760148 11.53846154  4.90196078],[0.         8.         4.         6.06060606]
"Under *strain* for a start because it was technically ill-equipped to avert disaster or to cope with the consequences when disaster struck; under strain from commercial pressures which, as the inquiry puts it, ‘compromised’ safety; under strain above all because the people on the spot couldn't or wouldn't cope, were weary from gruesome working hours (the senior signal technician who heads the list of the culpable had had only one day off in the past 13 weeks), lacked adequate training, or simply couldn't be bothered.",['stress' 'pressure'],pressure,pressure,definite,proved,0.1394444,0.16827665,4.5761523,4.435638,"[{'f1': array([0.98684072]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.98684072]), 'recall': array([0.98684072])}{'f1': array([1.00000024]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([1.00000024]), 'recall': array([1.00000024])}]","[{'f1': array([0.98684072]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.98684072]), 'recall': array([0.98684072])}{'f1': array([1.00000024]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([1.00000024]), 'recall': array([1.00000024])}]","[{'f1': array([0.99933082]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99933082]), 'recall': array([0.99933082])}{'f1': array([0.98689264]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.98689264]), 'recall': array([0.98689264])}]","[{'f1': array([0.9994871]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.9994871]), 'recall': array([0.9994871])}{'f1': array([0.98673725]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.98673725]), 'recall': array([0.98673725])}]",[ 32.18993409 100.        ],[ 32.18993409 100.        ],[5.20833333 4.16666667],[5.55555556 9.10477216]
"‘We accept that we could lose the money we've paid to go to auction, but that's a risk we're *prepared* to take,’ says Julie Widlake.",['willing' 'inclined' 'ready'],ready,prepared,ready,ready,0.14320903,1.6528496,1.1369206,1.2162186,"[{'f1': array([0.99873358]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99873358]), 'recall': array([0.99873358])}{'f1': array([0.99946153]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99946153]), 'recall': array([0.99946153])}{'f1': array([1.00000012]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([1.00000012]), 'recall': array([1.00000012])}]","[{'f1': array([0.99687707]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99687707]), 'recall': array([0.99687707])}{'f1': array([0.99833632]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99833632]), 'recall': array([0.99833632])}{'f1': array([0.99932837]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99932837]), 'recall': array([0.99932837])}]","[{'f1': array([0.99873358]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99873358]), 'recall': array([0.99873358])}{'f1': array([0.99946153]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99946153]), 'recall': array([0.99946153])}{'f1': array([1.00000012]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([1.00000012]), 'recall': array([1.00000012])}]","[{'f1': array([0.99873358]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99873358]), 'recall': array([0.99873358])}{'f1': array([0.99946153]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99946153]), 'recall': array([0.99946153])}{'f1': array([1.00000012]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([1.00000012]), 'recall': array([1.00000012])}]",[  0.           5.40540541 100.        ],[ 0.          6.54761905 18.63905325],[  0.           5.40540541 100.        ],[  0.           5.40540541 100.        ]
"The only effective *remedy* is to install hardened valve seats or a replacement cylinder head, both expensive options.",['cure' 'fix' 'solution'],solution,solution,medic,remedy,0.18608345,0.18874268,2.9508917,1.6939594,"[{'f1': array([0.99900341]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99900341]), 'recall': array([0.99900341])}{'f1': array([0.99903464]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99903464]), 'recall': array([0.99903464])}{'f1': array([0.99999982]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99999982]), 'recall': array([0.99999982])}]","[{'f1': array([0.99900341]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99900341]), 'recall': array([0.99900341])}{'f1': array([0.99903464]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99903464]), 'recall': array([0.99903464])}{'f1': array([0.99999982]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99999982]), 'recall': array([0.99999982])}]","[{'f1': array([0.99955291]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99955291]), 'recall': array([0.99955291])}{'f1': array([0.99932224]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99932224]), 'recall': array([0.99932224])}{'f1': array([0.9992004]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.9992004]), 'recall': array([0.9992004])}]","[{'f1': array([0.99961871]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99961871]), 'recall': array([0.99961871])}{'f1': array([0.99944407]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99944407]), 'recall': array([0.99944407])}{'f1': array([0.99895203]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99895203]), 'recall': array([0.99895203])}]",[  5.20833333   8.33333333 100.        ],[  5.20833333   8.33333333 100.        ],[11.9047619   9.80392157  2.7027027 ],[18.72659176  0.          0.        ]
"Mum, why aren't you gon na *put* your microphone on.",['turn'],turn,turn,put,put,0.279275,0.23482859,3.6763299,3.7980363,"[{'f1': array([1.00000024]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([1.00000024]), 'recall': array([1.00000024])}]","[{'f1': array([1.00000024]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([1.00000024]), 'recall': array([1.00000024])}]","[{'f1': array([0.99896073]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99896073]), 'recall': array([0.99896073])}]","[{'f1': array([0.99896073]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99896073]), 'recall': array([0.99896073])}]",[100.],[100.],[17.54385965],[17.54385965]
The ego-identity of that person is *shaped* by these choices.,['formed' 'moulded' 'determined'],determined,determined,dignity,controversy,0.29750684,0.25474334,5.8283396,5.741918,"[{'f1': array([0.99929541]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99929541]), 'recall': array([0.99929541])}{'f1': array([0.88409495]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.91532874]), 'recall': array([0.85492241])}{'f1': array([0.99999982]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99999982]), 'recall': array([0.99999982])}]","[{'f1': array([0.99929541]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99929541]), 'recall': array([0.99929541])}{'f1': array([0.88409495]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.91532874]), 'recall': array([0.85492241])}{'f1': array([0.99999982]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99999982]), 'recall': array([0.99999982])}]","[{'f1': array([0.99956882]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99956882]), 'recall': array([0.99956882])}{'f1': array([0.88027936]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.91143036]), 'recall': array([0.85118729])}{'f1': array([0.99906921]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99906921]), 'recall': array([0.99906921])}]","[{'f1': array([0.99940252]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99940252]), 'recall': array([0.99940252])}{'f1': array([0.88065791]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.9116177]), 'recall': array([0.85173202])}{'f1': array([0.99912775]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99912775]), 'recall': array([0.99912775])}]",[ 15.55555556  13.82392683 100.        ],[ 15.55555556  13.82392683 100.        ],[2.68817204 2.38095238 7.09219858],[7.14285714 4.27350427 8.34756618]
‘This won't *hold* anything.,['contain' 'carry' 'take' 'keep'],keep,keep,bring,hold,0.29809302,0.35352632,2.8916242,2.4931667,"[{'f1': array([0.99918962]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99918962]), 'recall': array([0.99918962])}{'f1': array([0.99924344]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99924344]), 'recall': array([0.99924344])}{'f1': array([0.9997313]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.9997313]), 'recall': array([0.9997313])}{'f1': array([0.99999958]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99999958]), 'recall': array([0.99999958])}]","[{'f1': array([0.99918962]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99918962]), 'recall': array([0.99918962])}{'f1': array([0.99924344]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99924344]), 'recall': array([0.99924344])}{'f1': array([0.9997313]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.9997313]), 'recall': array([0.9997313])}{'f1': array([0.99999958]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99999958]), 'recall': array([0.99999958])}]","[{'f1': array([0.99889839]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99889839]), 'recall': array([0.99889839])}{'f1': array([0.99906468]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99906468]), 'recall': array([0.99906468])}{'f1': array([0.99981999]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99981999]), 'recall': array([0.99981999])}{'f1': array([0.99975646]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99975646]), 'recall': array([0.99975646])}]","[{'f1': array([0.9994747]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.9994747]), 'recall': array([0.9994747])}{'f1': array([0.99934769]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99934769]), 'recall': array([0.99934769])}{'f1': array([0.99908006]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99908006]), 'recall': array([0.99908006])}{'f1': array([0.99930739]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99930739]), 'recall': array([0.99930739])}]",[  0.           0.          20.83333333 100.        ],[  0.           0.          20.83333333 100.        ],[9.63338534 4.         0.         0.        ],[3.90625 0.      0.      0.     ]
"He finds it *hard* to communicate with people, not least his separated parents.",['difficult'],difficult,difficult,difficult,difficult,0.3358879,0.27629283,1.2383459,1.596448,"[{'f1': array([0.99999988]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99999988]), 'recall': array([0.99999988])}]","[{'f1': array([0.99999988]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99999988]), 'recall': array([0.99999988])}]","[{'f1': array([0.99999988]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99999988]), 'recall': array([0.99999988])}]","[{'f1': array([0.99999988]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99999988]), 'recall': array([0.99999988])}]",[100.],[100.],[100.],[100.]
"The Masai, Sentue, finds this *hard* to believe.",['difficult'],difficult,difficult,difficult,difficult,0.3358879,0.27629283,1.2383459,1.596448,"[{'f1': array([0.99999988]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99999988]), 'recall': array([0.99999988])}]","[{'f1': array([0.99999988]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99999988]), 'recall': array([0.99999988])}]","[{'f1': array([0.99999988]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99999988]), 'recall': array([0.99999988])}]","[{'f1': array([0.99999988]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99999988]), 'recall': array([0.99999988])}]",[100.],[100.],[100.],[100.]
"In any case, if such a qualification is called for it is *hard* to see how a creature with no rationality at all could possess it.",['difficult'],difficult,difficult,difficult,difficult,0.3358879,0.27629283,1.2383459,1.596448,"[{'f1': array([0.99999988]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99999988]), 'recall': array([0.99999988])}]","[{'f1': array([0.99999988]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99999988]), 'recall': array([0.99999988])}]","[{'f1': array([0.99999988]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99999988]), 'recall': array([0.99999988])}]","[{'f1': array([0.99999988]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99999988]), 'recall': array([0.99999988])}]",[100.],[100.],[100.],[100.]
"‘Prime Ministers always have to consider balance in the Cabinet — and at least we now have the same number of women as old Etonians in John Major's *team*,’ she said.",['group' 'party' 'board' 'cabinet'],cabinet,cabinet,pastor,staff,0.030267026,0.025991494,3.8784223,2.7614799,"[{'f1': array([0.99858904]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99858904]), 'recall': array([0.99858904])}{'f1': array([0.96621579]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.96621579]), 'recall': array([0.96621579])}{'f1': array([0.99943984]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99943984]), 'recall': array([0.99943984])}{'f1': array([1.]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([1.]), 'recall': array([1.])}]","[{'f1': array([0.99858904]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99858904]), 'recall': array([0.99858904])}{'f1': array([0.96621579]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.96621579]), 'recall': array([0.96621579])}{'f1': array([0.99943984]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99943984]), 'recall': array([0.99943984])}{'f1': array([1.]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([1.]), 'recall': array([1.])}]","[{'f1': array([0.99798286]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99798286]), 'recall': array([0.99798286])}{'f1': array([0.96630013]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.96630013]), 'recall': array([0.96630013])}{'f1': array([0.99924552]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99924552]), 'recall': array([0.99924552])}{'f1': array([0.99933088]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99933088]), 'recall': array([0.99933088])}]","[{'f1': array([0.99850029]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99850029]), 'recall': array([0.99850029])}{'f1': array([0.96644145]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.96644145]), 'recall': array([0.96644145])}{'f1': array([0.99707437]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99707437]), 'recall': array([0.99707437])}{'f1': array([0.99757504]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99757504]), 'recall': array([0.99757504])}]",[  0.           7.40740741   7.40740741 100.        ],[  0.           7.40740741   7.40740741 100.        ],[11.53846154 20.14760148 11.53846154  4.90196078],[0.         8.         4.         6.06060606]
