s0,human_ans,Paraphrase T5 E3,Paraphrase T5 E5,Paraphrase Bart E1,Paraphrase Bart E3,Loss T5 E3,Loss T5 E5,Loss Bart E1,Loss Bart E3,Bert Scores T5 E3,Bert Scores T5 E5,Bert Scores Bart E1,Bert Scores Bart E3,ChrF Scores T5 E3,ChrF Scores T5 E5,ChrF Scores Bart E1,ChrF Scores Bart E3
"The technique of ‘hunt the analogue’ is a favourite one practised by palaeontologists, but it is certainly not a foolproof one, because there are many fossil animals that *defy* comparison with living organisms, and some analogues do not stand up to detailed scrutiny.",['withstand' 'disregard' 'resist'],detest,resist,follow,detest,5.5514684,0.071358256,2.702646,3.905401,"[{'f1': array([0.85749567]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.80235577]), 'recall': array([0.92077363])}{'f1': array([0.85618603]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.8005904]), 'recall': array([0.92007941])}{'f1': array([0.85730547]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.80223203]), 'recall': array([0.92049789])}]","[{'f1': array([0.9993583]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.9993583]), 'recall': array([0.9993583])}{'f1': array([0.99906719]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99906719]), 'recall': array([0.99906719])}{'f1': array([1.]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([1.]), 'recall': array([1.])}]","[{'f1': array([0.99866146]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99866146]), 'recall': array([0.99866146])}{'f1': array([0.99965191]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99965191]), 'recall': array([0.99965191])}{'f1': array([0.99877846]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99877846]), 'recall': array([0.99877846])}]","[{'f1': array([0.85749567]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.80235577]), 'recall': array([0.92077363])}{'f1': array([0.85618603]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.8005904]), 'recall': array([0.92007941])}{'f1': array([0.85730547]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.80223203]), 'recall': array([0.92049789])}]",[10.18964594  5.95238095 15.        ],[  8.2054561   12.44245365 100.        ],[1.98412698 0.         0.        ],[10.18964594  5.95238095 15.        ]
"Under *strain* for a start because it was technically ill-equipped to avert disaster or to cope with the consequences when disaster struck; under strain from commercial pressures which, as the inquiry puts it, ‘compromised’ safety; under strain above all because the people on the spot couldn't or wouldn't cope, were weary from gruesome working hours (the senior signal technician who heads the list of the culpable had had only one day off in the past 13 weeks), lacked adequate training, or simply couldn't be bothered.",['stress' 'pressure'],pressure,pressure,definite,proved,0.1394444,0.16827665,4.5761523,4.435638,"[{'f1': array([0.98684072]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.98684072]), 'recall': array([0.98684072])}{'f1': array([1.00000024]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([1.00000024]), 'recall': array([1.00000024])}]","[{'f1': array([0.98684072]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.98684072]), 'recall': array([0.98684072])}{'f1': array([1.00000024]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([1.00000024]), 'recall': array([1.00000024])}]","[{'f1': array([0.99933082]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99933082]), 'recall': array([0.99933082])}{'f1': array([0.98689264]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.98689264]), 'recall': array([0.98689264])}]","[{'f1': array([0.9994871]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.9994871]), 'recall': array([0.9994871])}{'f1': array([0.98673725]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.98673725]), 'recall': array([0.98673725])}]",[ 32.18993409 100.        ],[ 32.18993409 100.        ],[5.20833333 4.16666667],[5.55555556 9.10477216]
"The only effective *remedy* is to install hardened valve seats or a replacement cylinder head, both expensive options.",['cure' 'fix' 'solution'],solution,solution,medic,remedy,0.18608345,0.18874268,2.9508917,1.6939594,"[{'f1': array([0.99900341]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99900341]), 'recall': array([0.99900341])}{'f1': array([0.99903464]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99903464]), 'recall': array([0.99903464])}{'f1': array([0.99999982]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99999982]), 'recall': array([0.99999982])}]","[{'f1': array([0.99900341]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99900341]), 'recall': array([0.99900341])}{'f1': array([0.99903464]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99903464]), 'recall': array([0.99903464])}{'f1': array([0.99999982]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99999982]), 'recall': array([0.99999982])}]","[{'f1': array([0.99955291]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99955291]), 'recall': array([0.99955291])}{'f1': array([0.99932224]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99932224]), 'recall': array([0.99932224])}{'f1': array([0.9992004]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.9992004]), 'recall': array([0.9992004])}]","[{'f1': array([0.99961871]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99961871]), 'recall': array([0.99961871])}{'f1': array([0.99944407]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99944407]), 'recall': array([0.99944407])}{'f1': array([0.99895203]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99895203]), 'recall': array([0.99895203])}]",[  5.20833333   8.33333333 100.        ],[  5.20833333   8.33333333 100.        ],[11.9047619   9.80392157  2.7027027 ],[18.72659176  0.          0.        ]
A useful research exercise would be to compare the use of census and PAC data in deriving quantitative risk *assessments* and this is an interesting research problem.,['ratings' 'examinations' 'judgements' 'appraisals' 'evaluation'],evaluations,evaluation,questionable,considerations,1.0287474,0.2191377,5.997943,4.898237,"[{'f1': array([0.99940825]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99940825]), 'recall': array([0.99940825])}{'f1': array([0.99904871]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99904871]), 'recall': array([0.99904871])}{'f1': array([0.86067599]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.86671489]), 'recall': array([0.85472083])}{'f1': array([0.82586384]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.88402838]), 'recall': array([0.77488059])}{'f1': array([0.99931622]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99931622]), 'recall': array([0.99931622])}]","[{'f1': array([0.99855131]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99855131]), 'recall': array([0.99855131])}{'f1': array([0.99784654]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99784654]), 'recall': array([0.99784654])}{'f1': array([0.86411291]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.87015122]), 'recall': array([0.85815787])}{'f1': array([0.82819492]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.88657707]), 'recall': array([0.77702677])}{'f1': array([0.99999988]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99999988]), 'recall': array([0.99999988])}]","[{'f1': array([0.9993571]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.9993571]), 'recall': array([0.9993571])}{'f1': array([0.99924469]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99924469]), 'recall': array([0.99924469])}{'f1': array([0.86204469]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.86845267]), 'recall': array([0.85573065])}{'f1': array([0.82773304]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.88621318]), 'recall': array([0.77649319])}{'f1': array([0.99870104]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99870104]), 'recall': array([0.99870104])}]","[{'f1': array([0.99930292]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99930292]), 'recall': array([0.99930292])}{'f1': array([0.99900746]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99900746]), 'recall': array([0.99900746])}{'f1': array([0.862818]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.86881876]), 'recall': array([0.85689962])}{'f1': array([0.8280409]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.88673103]), 'recall': array([0.77663749])}{'f1': array([0.99932516]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99932516]), 'recall': array([0.99932516])}]",[18.4685489  38.22670703  8.16993464  9.98155421 97.27748649],[ 16.80453233  27.62810268   6.66666667   8.51851852 100.        ],[12.79946303 20.96801347  9.61538462  6.41025641 24.36232776],[27.0256143  37.36202     7.71604938  9.41699176 28.48473044]
"Well, *leave* it up to me, I'll see what I can get I'll get for the party.",['defer' 'give'],bring,give,bring,put,3.5042007,0.22575921,2.4792035,3.8727496,"[{'f1': array([0.99964899]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99964899]), 'recall': array([0.99964899])}{'f1': array([0.99962163]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99962163]), 'recall': array([0.99962163])}]","[{'f1': array([0.99979419]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99979419]), 'recall': array([0.99979419])}{'f1': array([1.00000024]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([1.00000024]), 'recall': array([1.00000024])}]","[{'f1': array([0.99964899]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99964899]), 'recall': array([0.99964899])}{'f1': array([0.99962163]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99962163]), 'recall': array([0.99962163])}]","[{'f1': array([0.99978375]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99978375]), 'recall': array([0.99978375])}{'f1': array([0.99974692]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99974692]), 'recall': array([0.99974692])}]",[ 4.        11.9047619],[  5.20833333 100.        ],[ 4.        11.9047619],[0. 0.]
"Mum, why aren't you gon na *put* your microphone on.",['turn'],turn,turn,put,put,0.279275,0.23482859,3.6763299,3.7980363,"[{'f1': array([1.00000024]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([1.00000024]), 'recall': array([1.00000024])}]","[{'f1': array([1.00000024]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([1.00000024]), 'recall': array([1.00000024])}]","[{'f1': array([0.99896073]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99896073]), 'recall': array([0.99896073])}]","[{'f1': array([0.99896073]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99896073]), 'recall': array([0.99896073])}]",[100.],[100.],[17.54385965],[17.54385965]
"His attention was also caught by a woman dressed in midnight-blue satin and diamonds; the sister of a Middle-Eastern *ruler*, she was known as an audacious gambler.",['leader' 'royal' 'king'],politician,king,boss,star,3.3314025,0.24559128,4.8514543,4.4014077,"[{'f1': array([0.99955982]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99955982]), 'recall': array([0.99955982])}{'f1': array([0.99898767]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99898767]), 'recall': array([0.99898767])}{'f1': array([0.99795139]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99795139]), 'recall': array([0.99795139])}]","[{'f1': array([0.99824142]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99824142]), 'recall': array([0.99824142])}{'f1': array([0.99857247]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99857247]), 'recall': array([0.99857247])}{'f1': array([1.00000036]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([1.00000036]), 'recall': array([1.00000036])}]","[{'f1': array([0.99927241]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99927241]), 'recall': array([0.99927241])}{'f1': array([0.99809206]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99809206]), 'recall': array([0.99809206])}{'f1': array([0.99782938]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99782938]), 'recall': array([0.99782938])}]","[{'f1': array([0.99972832]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99972832]), 'recall': array([0.99972832])}{'f1': array([0.99896562]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99896562]), 'recall': array([0.99896562])}{'f1': array([0.99830985]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99830985]), 'recall': array([0.99830985])}]",[ 4.90196078 10.          9.61538462],[  0.   0. 100.],[0.         5.20833333 0.        ],[ 8.92857143 10.41666667  0.        ]
The ego-identity of that person is *shaped* by these choices.,['formed' 'moulded' 'determined'],determined,determined,dignity,controversy,0.29750684,0.25474334,5.8283396,5.741918,"[{'f1': array([0.99929541]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99929541]), 'recall': array([0.99929541])}{'f1': array([0.88409495]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.91532874]), 'recall': array([0.85492241])}{'f1': array([0.99999982]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99999982]), 'recall': array([0.99999982])}]","[{'f1': array([0.99929541]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99929541]), 'recall': array([0.99929541])}{'f1': array([0.88409495]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.91532874]), 'recall': array([0.85492241])}{'f1': array([0.99999982]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99999982]), 'recall': array([0.99999982])}]","[{'f1': array([0.99956882]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99956882]), 'recall': array([0.99956882])}{'f1': array([0.88027936]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.91143036]), 'recall': array([0.85118729])}{'f1': array([0.99906921]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99906921]), 'recall': array([0.99906921])}]","[{'f1': array([0.99940252]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99940252]), 'recall': array([0.99940252])}{'f1': array([0.88065791]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.9116177]), 'recall': array([0.85173202])}{'f1': array([0.99912775]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99912775]), 'recall': array([0.99912775])}]",[ 15.55555556  13.82392683 100.        ],[ 15.55555556  13.82392683 100.        ],[2.68817204 2.38095238 7.09219858],[7.14285714 4.27350427 8.34756618]
"The Masai, Sentue, finds this *hard* to believe.",['difficult'],difficult,difficult,difficult,difficult,0.3358879,0.27629283,1.2383459,1.596448,"[{'f1': array([0.99999988]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99999988]), 'recall': array([0.99999988])}]","[{'f1': array([0.99999988]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99999988]), 'recall': array([0.99999988])}]","[{'f1': array([0.99999988]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99999988]), 'recall': array([0.99999988])}]","[{'f1': array([0.99999988]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99999988]), 'recall': array([0.99999988])}]",[100.],[100.],[100.],[100.]
"I don't know mate, o I only know that that's *take* us Ann and Paul and Ann and John and all them all doing all the others so",['bring'],a,all,bring,get,4.5939803,4.9876466,0.538614,2.4660583,"[{'f1': array([0.99830955]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99830955]), 'recall': array([0.99830955])}]","[{'f1': array([0.9996084]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.9996084]), 'recall': array([0.9996084])}]","[{'f1': array([0.99999994]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99999994]), 'recall': array([0.99999994])}]","[{'f1': array([0.99966598]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99966598]), 'recall': array([0.99966598])}]",[0.],[0.],[100.],[7.24637681]
