s0,human_ans,Paraphrase T5 E3,Paraphrase T5 E5,Paraphrase Bart E1,Paraphrase Bart E3,Loss T5 E3,Loss T5 E5,Loss Bart E1,Loss Bart E3,Bert Scores T5 E3,Bert Scores T5 E5,Bert Scores Bart E1,Bert Scores Bart E3,ChrF Scores T5 E3,ChrF Scores T5 E5,ChrF Scores Bart E1,ChrF Scores Bart E3
"This leaves the Energy Secretary, Mr John Wakeham, with two options: he can either agree to underwrite any cost escalations in nuclear handling costs after privatisation, or he can swallow his pride, and *pull* all nuclear plant out of the impending sale.",['remove' 'withdraw' 'gather' 'bring'],take,take,bring,put,2.4913132,2.6037285,0.538614,3.971303,"[{'f1': array([0.99913162]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99913162]), 'recall': array([0.99913162])}{'f1': array([0.99897093]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99897093]), 'recall': array([0.99897093])}{'f1': array([0.99921191]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99921191]), 'recall': array([0.99921191])}{'f1': array([0.99981999]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99981999]), 'recall': array([0.99981999])}]","[{'f1': array([0.99913162]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99913162]), 'recall': array([0.99913162])}{'f1': array([0.99897093]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99897093]), 'recall': array([0.99897093])}{'f1': array([0.99921191]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99921191]), 'recall': array([0.99921191])}{'f1': array([0.99981999]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99981999]), 'recall': array([0.99981999])}]","[{'f1': array([0.99889576]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99889576]), 'recall': array([0.99889576])}{'f1': array([0.9989816]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.9989816]), 'recall': array([0.9989816])}{'f1': array([0.9990868]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.9990868]), 'recall': array([0.9990868])}{'f1': array([0.99999994]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99999994]), 'recall': array([0.99999994])}]","[{'f1': array([0.99924088]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99924088]), 'recall': array([0.99924088])}{'f1': array([0.99936891]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99936891]), 'recall': array([0.99936891])}{'f1': array([0.99932551]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99932551]), 'recall': array([0.99932551])}{'f1': array([0.99974978]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99974978]), 'recall': array([0.99974978])}]",[ 4.46428571  6.94444444 13.39285714  0.        ],[ 4.46428571  6.94444444 13.39285714  0.        ],[  3.44827586   5.40540541   6.89655172 100.        ],[0.         4.76190476 6.17283951 0.        ]
"Nevertheless, most schools consider they are already providing equal opportunities by *neutral* treatment of the two sexes (Bloomfield, 1984).",['equal' 'impartial' 'unprejudiced'],neutral,neutral,neutral,unbiased,1.9116964,1.8446784,0.62475497,0.8056929,"[{'f1': array([0.99832892]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99832892]), 'recall': array([0.99832892])}{'f1': array([0.99857092]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99857092]), 'recall': array([0.99857092])}{'f1': array([0.80924642]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.87429869]), 'recall': array([0.75320423])}]","[{'f1': array([0.99832892]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99832892]), 'recall': array([0.99832892])}{'f1': array([0.99857092]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99857092]), 'recall': array([0.99857092])}{'f1': array([0.80924642]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.87429869]), 'recall': array([0.75320423])}]","[{'f1': array([0.99832892]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99832892]), 'recall': array([0.99832892])}{'f1': array([0.99857092]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99857092]), 'recall': array([0.99857092])}{'f1': array([0.80924642]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.87429869]), 'recall': array([0.75320423])}]","[{'f1': array([0.99914724]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99914724]), 'recall': array([0.99914724])}{'f1': array([0.99928164]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99928164]), 'recall': array([0.99928164])}{'f1': array([0.81092143]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.8773573]), 'recall': array([0.75383872])}]",[19.36347412  9.94522692  6.06060606],[19.36347412  9.94522692  6.06060606],[19.36347412  9.94522692  6.06060606],[10.71428571  5.92468114 10.70904567]
"When Raymond of Toulouse, Robert II of Flanders, Robert Curthose, Stephen of Blois, and Hugh of Vermandois responded to the call, past and present members of their military households fell almost automatically into rank behind them, to test themselves against terrible dangers, but also to enjoy the companionship in arms, the adventure, the deeds of daring which were the *stuff* of the chansons de geste.",['trademark' 'credentials' 'tales' 'goods' 'victors' 'things'],suffocating,suffocating,things,stuff,4.704421,4.5618668,0.7403992,1.1921796,"[{'f1': array([0.85140622]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.81249833]), 'recall': array([0.89422786])}{'f1': array([0.85112691]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.81171036]), 'recall': array([0.89456701])}{'f1': array([0.85201865]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.81243747]), 'recall': array([0.89565414])}{'f1': array([0.84929723]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.81046742]), 'recall': array([0.89203489])}{'f1': array([0.84622419]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.85083175]), 'recall': array([0.84166634])}{'f1': array([0.8516314]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.81252646]), 'recall': array([0.89469075])}]","[{'f1': array([0.85140622]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.81249833]), 'recall': array([0.89422786])}{'f1': array([0.85112691]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.81171036]), 'recall': array([0.89456701])}{'f1': array([0.85201865]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.81243747]), 'recall': array([0.89565414])}{'f1': array([0.84929723]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.81046742]), 'recall': array([0.89203489])}{'f1': array([0.84622419]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.85083175]), 'recall': array([0.84166634])}{'f1': array([0.8516314]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.81252646]), 'recall': array([0.89469075])}]","[{'f1': array([0.99845719]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99845719]), 'recall': array([0.99845719])}{'f1': array([0.99879211]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99879211]), 'recall': array([0.99879211])}{'f1': array([0.99895012]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99895012]), 'recall': array([0.99895012])}{'f1': array([0.99926507]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99926507]), 'recall': array([0.99926507])}{'f1': array([0.87005848]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.91759253]), 'recall': array([0.82720661])}{'f1': array([1.00000036]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([1.00000036]), 'recall': array([1.00000036])}]","[{'f1': array([0.98370039]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.98370039]), 'recall': array([0.98370039])}{'f1': array([0.98217028]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.98217028]), 'recall': array([0.98217028])}{'f1': array([0.98150015]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.98150015]), 'recall': array([0.98150015])}{'f1': array([0.98107636]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.98107636]), 'recall': array([0.98107636])}{'f1': array([0.85866529]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.90317321]), 'recall': array([0.81833804])}{'f1': array([0.98301387]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.98301387]), 'recall': array([0.98301387])}]",[ 3.54609929 10.75757576  9.67741935  9.67741935 10.68376068 20.81929168],[ 3.54609929 10.75757576  9.67741935  9.67741935 10.68376068 20.81929168],"[  1.98412698   6.66666667   7.69230769   7.69230769   7.35294118
 100.        ]",[2.43902439 4.08163265 8.         4.         6.06060606 6.89655172]
"In the dialectical perspective, we encounter these *objects* as productions which are human and provided with a future … thus they seem by themselves to be totalizations in process.",['items' 'articles' 'subjects' 'things'],objects,objects,things,things,4.025435,4.0529513,0.7403992,1.3030001,"[{'f1': array([0.93555343]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.93555343]), 'recall': array([0.93555343])}{'f1': array([0.99842757]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99842757]), 'recall': array([0.99842757])}{'f1': array([0.99748784]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99748784]), 'recall': array([0.99748784])}{'f1': array([0.99941909]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99941909]), 'recall': array([0.99941909])}]","[{'f1': array([0.93555343]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.93555343]), 'recall': array([0.93555343])}{'f1': array([0.99842757]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99842757]), 'recall': array([0.99842757])}{'f1': array([0.99748784]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99748784]), 'recall': array([0.99748784])}{'f1': array([0.99941909]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99941909]), 'recall': array([0.99941909])}]","[{'f1': array([0.93668765]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.93668765]), 'recall': array([0.93668765])}{'f1': array([0.99860245]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99860245]), 'recall': array([0.99860245])}{'f1': array([0.99751616]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99751616]), 'recall': array([0.99751616])}{'f1': array([1.00000036]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([1.00000036]), 'recall': array([1.00000036])}]","[{'f1': array([0.93668765]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.93668765]), 'recall': array([0.93668765])}{'f1': array([0.99860245]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99860245]), 'recall': array([0.99860245])}{'f1': array([0.99751616]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99751616]), 'recall': array([0.99751616])}{'f1': array([1.00000036]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([1.00000036]), 'recall': array([1.00000036])}]",[11.11111111  8.54700855 61.76733754  5.37634409],[11.11111111  8.54700855 61.76733754  5.37634409],[ 11.53846154   6.57894737   4.38596491 100.        ],[ 11.53846154   6.57894737   4.38596491 100.        ]
Gone a *funny* shape.,['odd' 'amusing' 'goofy' 'weird'],beautiful,beautiful,weird,funny,5.9194026,5.8676,0.8097702,1.7471552,"[{'f1': array([0.99935615]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99935615]), 'recall': array([0.99935615])}{'f1': array([0.9994117]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.9994117]), 'recall': array([0.9994117])}{'f1': array([0.99944878]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99944878]), 'recall': array([0.99944878])}{'f1': array([0.99947202]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99947202]), 'recall': array([0.99947202])}]","[{'f1': array([0.99935615]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99935615]), 'recall': array([0.99935615])}{'f1': array([0.9994117]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.9994117]), 'recall': array([0.9994117])}{'f1': array([0.99944878]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99944878]), 'recall': array([0.99944878])}{'f1': array([0.99947202]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99947202]), 'recall': array([0.99947202])}]","[{'f1': array([0.99967092]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99967092]), 'recall': array([0.99967092])}{'f1': array([0.9994722]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.9994722]), 'recall': array([0.9994722])}{'f1': array([0.99964023]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99964023]), 'recall': array([0.99964023])}{'f1': array([1.00000012]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([1.00000012]), 'recall': array([1.00000012])}]","[{'f1': array([0.99919254]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99919254]), 'recall': array([0.99919254])}{'f1': array([0.99945623]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99945623]), 'recall': array([0.99945623])}{'f1': array([0.99960768]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99960768]), 'recall': array([0.99960768])}{'f1': array([0.99940962]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99940962]), 'recall': array([0.99940962])}]",[0.         6.75675676 3.44827586 6.89655172],[0.         6.75675676 3.44827586 6.89655172],[  9.80392157   3.03030303   0.         100.        ],[0.         6.06060606 8.         0.        ]
The small light beneath the receiver rests showed that the line was *working*.,['functioning' 'operable' 'operational' 'running'],running,running,running,running,0.5569858,0.54678106,0.8703134,1.4425737,"[{'f1': array([0.99926734]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99926734]), 'recall': array([0.99926734])}{'f1': array([0.88127297]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.92167228]), 'recall': array([0.84426647])}{'f1': array([0.99873281]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99873281]), 'recall': array([0.99873281])}{'f1': array([1.00000012]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([1.00000012]), 'recall': array([1.00000012])}]","[{'f1': array([0.99926734]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99926734]), 'recall': array([0.99926734])}{'f1': array([0.88127297]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.92167228]), 'recall': array([0.84426647])}{'f1': array([0.99873281]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99873281]), 'recall': array([0.99873281])}{'f1': array([1.00000012]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([1.00000012]), 'recall': array([1.00000012])}]","[{'f1': array([0.99926734]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99926734]), 'recall': array([0.99926734])}{'f1': array([0.88127297]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.92167228]), 'recall': array([0.84426647])}{'f1': array([0.99873281]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99873281]), 'recall': array([0.99873281])}{'f1': array([1.00000012]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([1.00000012]), 'recall': array([1.00000012])}]","[{'f1': array([0.99926734]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99926734]), 'recall': array([0.99926734])}{'f1': array([0.88127297]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.92167228]), 'recall': array([0.84426647])}{'f1': array([0.99873281]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99873281]), 'recall': array([0.99873281])}{'f1': array([1.00000012]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([1.00000012]), 'recall': array([1.00000012])}]",[ 23.44527618   2.13675214   4.90196078 100.        ],[ 23.44527618   2.13675214   4.90196078 100.        ],[ 23.44527618   2.13675214   4.90196078 100.        ],[ 23.44527618   2.13675214   4.90196078 100.        ]
"Now the nearest tree is an enormous trunk, *struck* by lightning and sawed-off.",['hit'],smashed,smashed,hit,bitten,1.7792695,1.6673068,0.88881,1.9647495,"[{'f1': array([0.9984504]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.9984504]), 'recall': array([0.9984504])}]","[{'f1': array([0.9984504]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.9984504]), 'recall': array([0.9984504])}]","[{'f1': array([1.]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([1.]), 'recall': array([1.])}]","[{'f1': array([0.99832618]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99832618]), 'recall': array([0.99832618])}]",[8.77192982],[8.77192982],[100.],[31.42536476]
Somebody was looking after me cos I shouldn't have *got* out and I did.,['gone' 'went'],gone,gone,went,got,2.5718212,2.433036,0.8945306,3.0921385,"[{'f1': array([1.]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([1.]), 'recall': array([1.])}{'f1': array([0.99949133]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99949133]), 'recall': array([0.99949133])}]","[{'f1': array([1.]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([1.]), 'recall': array([1.])}{'f1': array([0.99949133]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99949133]), 'recall': array([0.99949133])}]","[{'f1': array([0.99949133]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99949133]), 'recall': array([0.99949133])}{'f1': array([0.99999988]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99999988]), 'recall': array([0.99999988])}]","[{'f1': array([0.99951911]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99951911]), 'recall': array([0.99951911])}{'f1': array([0.99971896]), 'hashcode': 'roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.41.1)', 'precision': array([0.99971896]), 'recall': array([0.99971896])}]",[100.   12.5],[100.   12.5],[ 12.5 100. ],[29.46127946  8.77192982]
